Utdanning,År,Tilbud,Etterspørsel,Differanse
Barnehagelærere,2020,47134,47134,0
Barnehagelærere,2021,48005,46522,1484
Barnehagelærere,2022,49055,45972,3084
Barnehagelærere,2023,50112,45817,4295
Barnehagelærere,2024,51175,45549,5626
Barnehagelærere,2025,52234,45402,6832
Barnehagelærere,2026,53293,45341,7952
Barnehagelærere,2027,54325,45379,8946
Barnehagelærere,2028,55330,45502,9828
Barnehagelærere,2029,56277,45707,10570
Barnehagelærere,2030,57146,45943,11203
Barnehagelærere,2031,57939,46193,11746
Barnehagelærere,2032,58633,46442,12191
Barnehagelærere,2033,59232,46696,12536
Barnehagelærere,2034,59752,46987,12766
Barnehagelærere,2035,60185,47308,12878
Barnehagelærere,2036,60574,47652,12921
Barnehagelærere,2037,60940,48014,12926
Barnehagelærere,2038,61317,48348,12969
Barnehagelærere,2039,61723,48608,13115
Barnehagelærere,2040,62181,48793,13387
Grunnskolelærere,2020,52497,52497,0
Grunnskolelærere,2021,52773,52459,314
Grunnskolelærere,2022,53233,52487,746
Grunnskolelærere,2023,53749,52346,1403
Grunnskolelærere,2024,54321,52084,2237
Grunnskolelærere,2025,54931,51637,3294
Grunnskolelærere,2026,55547,51094,4453
Grunnskolelærere,2027,56193,50600,5594
Grunnskolelærere,2028,56819,50165,6654
Grunnskolelærere,2029,57406,49726,7680
Grunnskolelærere,2030,57928,49404,8524
Grunnskolelærere,2031,58391,49125,9266
Grunnskolelærere,2032,58778,48904,9874
Grunnskolelærere,2033,59083,48742,10341
Grunnskolelærere,2034,59331,48740,10591
Grunnskolelærere,2035,59522,48845,10677
Grunnskolelærere,2036,59689,49015,10674
Grunnskolelærere,2037,59849,49232,10617
Grunnskolelærere,2038,60004,49496,10507
Grunnskolelærere,2039,60182,49815,10367
Grunnskolelærere,2040,60374,50152,10223
Lektorutdannede,2020,5534,5534,0
Lektorutdannede,2021,5963,5541,421
Lektorutdannede,2022,6431,5561,870
Lektorutdannede,2023,6896,5575,1322
Lektorutdannede,2024,7360,5583,1777
Lektorutdannede,2025,7821,5593,2227
Lektorutdannede,2026,8272,5600,2672
Lektorutdannede,2027,8718,5600,3118
Lektorutdannede,2028,9151,5582,3569
Lektorutdannede,2029,9578,5557,4021
Lektorutdannede,2030,9990,5531,4459
Lektorutdannede,2031,10396,5512,4884
Lektorutdannede,2032,10790,5499,5291
Lektorutdannede,2033,11177,5494,5684
Lektorutdannede,2034,11561,5481,6081
Lektorutdannede,2035,11940,5463,6477
Lektorutdannede,2036,12308,5450,6859
Lektorutdannede,2037,12677,5451,7225
Lektorutdannede,2038,13044,5461,7583
Lektorutdannede,2039,13409,5474,7936
Lektorutdannede,2040,13769,5489,8280
Faglærere,2020,5534,5534,0
Faglærere,2021,5812,5541,271
Faglærere,2022,6122,5561,561
Faglærere,2023,6427,5575,852
Faglærere,2024,6728,5583,1145
Faglærere,2025,7026,5593,1433
